
DATE_VALU   COUNT(*)
23-SEP-20    3906134
24-SEP-20    3861210
25-SEP-20    3776522
26-SEP-20    3756488
27-SEP-20    3826918
28-SEP-20    3874206
29-SEP-20    3730425
30-SEP-20    3824338
01-OCT-20    3857907
02-OCT-20    3766721
