
DATE_VALU   COUNT(*)
23-SEP-20     350129
24-SEP-20     355836
25-SEP-20     335976
26-SEP-20     352645
27-SEP-20     370762
28-SEP-20     353568
29-SEP-20     346466
30-SEP-20     351247
01-OCT-20     378353
02-OCT-20     337086
