
DATE_VALU   COUNT(*)
23-SEP-20     802096
24-SEP-20     842641
25-SEP-20     825983
26-SEP-20     894810
27-SEP-20     849970
28-SEP-20     850776
29-SEP-20     813343
30-SEP-20     806762
01-OCT-20     811356
02-OCT-20     831412
