
DATE_VALU   COUNT(*)
23-SEP-20     179322
24-SEP-20     183395
25-SEP-20     178839
26-SEP-20     184933
27-SEP-20     192282
28-SEP-20     179417
29-SEP-20     178512
30-SEP-20     192699
01-OCT-20     201664
02-OCT-20     187822
