
DATE_VALU   COUNT(*)
23-SEP-20    9469829
24-SEP-20    9123984
25-SEP-20    9545784
26-SEP-20    9659330
27-SEP-20   10013663
28-SEP-20    9931086
29-SEP-20   10778759
30-SEP-20   11324019
01-OCT-20   11212264
02-OCT-20   10126194
